ID,Title,Rating,Comment,asin_number
3420,,4,As new products evolve they only accept SD and microSD cards. I've had good luck with SanDisk and this is no exception.,
3421,,5,"Got this to use with my GoPro, give 2 hours of recording time, once II figured out how to use the camera.",
3422,,5,Works in all my sd devices. I bought this one for my smart phone. plug and play! works great. Would definitely recommend this card and the seller to my friends.,
3423,,5,"I purchased this to add storage to my Samsung Galaxy Note 3... and it works GREAT!Fast speed, easy snap-in install.  Not a moment's problem.Highly recommend this SanDisk Ultra 32 GB Micro SD to anyone planning to use with Smartphone or Tablet.",
3424,,5,"I haven't used it extensively at this point, but it holds my data well...as it should. SanDisk continues to be a solid brand.",
3425,,5,I have owned and used this in my Galaxy SIII for a few months now.  I have never had any problems with it.  It is fast.  I never even think about running out of space on my phone now.  It shows up as 29.71 GB total capacity and I still have 22.86 GB left.,
3426,,5,"Slipped perfectly into the microSD card slot of my Galaxy Note 2 and was immediately available. No formatting required, and writes to this card are fast enough to use it for video captures. Sweet!",
3427,,5,I used this SanDisk Ultra 64 GB microSDXC Class 10 UHS-1 Memory Card 30MB/s to expand my Surface RT and it is really excellent.,
3428,,5,Phone missing extra storage space? This was a great purchase and at a great price with Amazon. Would recommend for the movie watcher or photo/music enthusiast.,
3429,,5,The card was fast enough for HD video recording with my Sony ActionCam as-15 and it is very durable. Great stuff,
3430,,4,"Well not much to say...its a good mmc and its fast enough and that's about all you can ask for, using for more storage on my tablet.Update: stopped working after a while, computer said the mmc had an error and after an hour I could not fix, it became locked and would not unlock with any sd adapters I used and because its locked it would not format or erase and wouldn't even read because of the error. It stopped working after amazons very short return policy so I was out of luck with them, luckily SanDisk has a very long (10-lifetime) for its ultra brands, even though it was a hassle and all through email only I got a replacement and that's why I only took one star off",
3431,,3,"Reliable and inexpensive. However, it's quite slow, far, far slower than the 64GB samsung pro microsdxc. The Samsung works well for interactive use while I would only use this Sandisk card for applications where speed isn't important.",
3432,,5,this sd card is very compatible with samsung galaxy s4I recomended it to all galaxy s4 owners &#62;&#62;&#62;&#62;regards,
3433,,5,"Good quality. I've been using it several devices (phone, tablet, and computer) with no troubles at all. Glad I chose this one.",
3434,,5,-Great storage-Low price-Good transfer rate-Respond and read time is good-almost 14.8 will be available for user usage,
3435,,5,"Not much more to say, really. Work, is faster than my Class 4 16GB card and provides the space to copy DSLR photos (when I hook the phone to my Nikon 5100 with the USB host cable)",
3436,,5,"It's a memory card, stores memory well, no problems after 2 months of use in my Note 2. Great price online.",
3437,,1,"I had this for my smart phone and it kept dismounting itself.  I did some research and found out that there are others experiencing the same problem.  So, I returned this and got Transcend instead.  Transcend works fine with no problem.",
3438,,5,Great product! came with an adapter to plug into a camera or a regular sized card reader. The ultra allows for faster uploads and downloads onto the card!  Great for pictures and apps!,
3439,,3,"I bought this primarily to use in my Surface Pro. It would randomly dismount itself. I do not know if it was the Surface's fault or the card's fault. Upon doing a little internet searching, I found this to be a common problem with Sandisk cards and the Surface Pro. I used another brand microSDXC and it has worked fine.",
3440,,1,"This card was used in a phone without a large amount of write stress (which does shorten the life of the card - it was not written to over and over in the phone).The card is now totally unwriteable - on a Mac, a Linux machine, or the phone - writes all ""seem"" to succeed but even low-level reformats don't actually *do* anything - the exact same files are there after every change, untouchable and frozen forever.10 months of use out of a memory card and then a really weird failure like this (neither the Mac, Linux machine, or phone reports any error) is not acceptable quality from SanDisk.",
3441,,5,...and they're right!This microSDHC card is fast. I started formatting it a little behind another class 10 card (not a UHS-1) card and it formatted all 32GB ahead of the Transcend 16GB card - which is no slouch either! It's the fastest flash card I've sent yet. I doubt you will be disappointed unless you're an alien with more advanced technology.,
3442,,4,I cannot gauge if its better or faster than a class 4 or 6. I use it in my mobile and it saves pictures just as quickly. Dont see a difference. But it has advertised capacity and works ok.,
3443,,5,"Just great, I hadn't been problems with my memory and I use it with my S3 all the time, so its great.",
3444,,5,There's not much to be said for this except that it works as advertised.  I'm happy with the purchase and would buy again.,
3445,,5,As an photographer I rely on high quality cards for my images...this one does the job and then some.  Two thumbs up !!,
3446,,5,Been using it for a month and everything works fine.I have my SD card encrypted and it does take a little bit longer to transfer.It does get warm when I transfer files for more than 2 minutes but I have not had any performance issues with it.Overall 5/5,
3447,,5,"This is my 4th unit that I had purchased from SanDisk. Used it in a Sony Z Tablet, Note 2, S4, Q10 and most recently the Sony Z1 smartphone. Data transfer speeds are quick and you get consistent transfers without any errors.A worth buy!",
3448,,5,"Sandisk is a popular brand name product, which I have used for years. I bought this for my new camera, for recording video, and it has worked well so far.. have not tried it with my gopro camera yet.  It may be a little slow for fast action videos.",
3449,,5,Very good product. I got tired of taking pictures and the memory is not over. So good that I bought another,
3450,,5,"I wanted a memory card for my phone so I started looking around online, this is by far one of the best you can get and the price is un-beatable",
3451,,5,"64GB for this price is a nice deal, especially when you are trying to add storage capability for a tablet or phone.  Keep in mind that not all phones/tablets/devices support 64GB, so you may have to get the 32 GB instead.  Performance is very good, especially when weighing with price and capacity.",
3452,,5,"I own several video recording devices (Surveillance, car-based DVR systems, etc.), and the SanDisk Class 10 cards (always use class 10 cards when dealing with HD video) are the only ones which survive these extreme environments.I have been using SanDisk for years, and while I do admit to trying other great brands once in a while, I always come back to SanDisk, and will stick with it.Many non SanDisk brand cards might advertise Class 10 as well, but don't achieve the same writing speeds.  In fact, cheaping out on these cards may result in your video recording devices to become unstable, or worse, corrupt data.Highly recommended!",
3453,,1,"I have had this for 8 months, and the SD Card already stopped deleting files and keeping pictures.  I have tried reformatting, and nothing helps.  Not cool.Update - April 2, 2014 - I contacted Sandisk and I am sending the problematic card back for warranty replacement.  I hope this will resolve the issue with the card.  I will keep you updated once the process is complete.",
3454,,4,"I bought it to expand my Surface RT tablet, reliable and stable my data is intact and secure.Highly recommended",
3455,,5,"Worked perfectly right out of the box, and seems to be a lot faster than the old class 10 that were manufactured by SanDisk, or others for that matter.",
3456,,5,"Have not experienced any wirting speed problem with my android sticks or PC. So I suppose it lives up to the 10X claimed. Tried with both SDHC & SDXC readers on both abdroid TV's and PC's USB ports, and all worked as smmoth as silk.",
3457,,4,It works fine in my Verizon Galaxy S3 but has to be formated to FAT32.  Also works in my Canon IXUS 80.,
3458,,5,"Still wondering how they fit 64,000,000,000 bites on a card like this. But this car is plenty fast and compatible with my devices.",
3459,,5,"It has worked fine, so I have no complaints.  I've purchased SanDisk products several times and have been happy with this brand.",
3460,,5,I've been used this prdoduct on the Past and it has great whit my Past Galaxy Note 2 for Store almost anything on my Device,
3461,,1,This card failed after 2 weeks of use.  I have the same problem with their SSD failed on me after 6 months.,
3462,,4,"Fast , no problems , i loved the price and it worked immediately , never caused me any problems.... Oh just remembered when i place it into the sd card to make it fit into the pc ,,, usually the micro sd get stuck in the holder , that i did not like",
3463,,5,"It worked in my android phone and will hold all my music, so i like it so far and would recommend",
3464,,5,I got this to go in my smart phone and it does the job great!  Inexpensive and it includes an adaptor card so I can use it in applications without a micro-SD slot.  This expands its versatility.,
3465,,5,I bought this to upgrade the 32GB MicroSD that was in my Samsung Galaxy S5. This works great!I recommend this for everyone.,
3466,,5,"Whether I'm on vacation or just taking photos and videos around the house I don't trust any other memory cards to keep all my memories.  I bought this card mainly for my Contour ROAM 2 Helmet Cam, but I've been using SanDisk Compact Flash Cards in my Canon DSLR and SanDisk SD Cards in my Panasonic HMC40 video camera and I've never had a single problem.  They don't fail, I've never had a file corrupted, they've survived x rays at the airport and extreme weather conditions.  Sometimes I'm tempted with the prices of other memory cards but in the end I go with the SanDisk for that warm and fuzzy feeling of knowing all my photos and videos will be perfectly safe.",
3467,,5,Used in my gopro. it holds a massive amount of video. No problems with it. It does what it is supposed to.,
3468,,5,Works great in GoPro Hero 3+. Super fast and gives plenty of storage capacity to video every outdoor activity I need.,
3469,,5,"Works great! Perfect price,I'm using mine for my digital camera, and my DJI Phantom FC40.The chip holds tons of data and is exactly what I needed!Highly recommend for anyone needing both micro and standard SD. It's great to have the ability to plug and play to get the data!Buy it, Buy it! BUY IT!For the money I should have got the 64GB card.I will be buying more.",
3470,,5,"My Android tablet is a toy; there is nothing crucial on it. I plan on downloading maps for travel, and need more storage.I rooted my tablet, changed two lines in a control file, and now it sees the external card as the internal card (and vice versa). When I save apps and/or data to the SD card, everything goes to the 32GB SanDisk Ultra MicroSDHC card instead of the puny internal store! Woo-hoo!DISCLAIMER: Rooting a device usually voids its warranty. I am not condoning such action, nor am I responsible for the results of such action. The responsibility is yours.The tiny card fit into the tiny slot on my 9&#34;-screened tablet, and is invisible once installed. But we both know it's there! I couldn't be happier, and until that changes, this is my endorsement of the SDHC card.",
3471,,5,"great deal fast data good price . you can use it for any thing . you dont need card reader , it comes with one already",
3472,,5,Works just fine.  Came with an adapter for a standard size card slot.  Installed in a Samsung Mini Tab 2.,
3473,,5,I got a few of these for tablets and phones and they have been fine. I loaded them with movies for a trip and they playback was perfect. I used one in a camera for video and it was plenty fast enough for the clips I was taking.,
3474,,5,"buy this one. it was inserted in my galaxy note 2, and also my asus transformer infinity. i bought 2 of these cards. i will buy it again if i need to. its easy to install, just pop it in and your device reads it. it's that simple!",
3475,,5,"stored over 2000 pics in good quality and were transferred to laptop from tablet, very happy with San Disk Ultra",
3476,,5,"Just the right size for my knitting and crafting patterns, lets me take them anywhere I go and helps when buying yarn and fabric because all the info I need is on my Nook.",
3477,,5,It works like sed it dose it's fast and works in my Xoom and have used it in my hd1010 xacti camera with an adapter.,
3478,,5,I bought this micro SD card for my Samsung pocket camera.I was amazed at how much storage I could shoot video in HD 1080 on such a tiny card.So far it is performing  nicely.,
3479,,5,"Installed in my Samsung Galaxy S4 (AT&T) for music, photos and video storage.  Works perfectly, never had a glitch in 6 months. (Formated as exFAT)",
3480,,5,Upgraded from the 32GB and very satisfied. Works great with my phone and large library of music. Def would reccomend.,
3481,,5,"Although it may be overkill for the application, considering its capacity, this appears to work very well for firmware memory for the Raspberry Pi, and at the price I bought it for on last year's Cyber-Monday, I wish I could buy a few more of them for the same price.  I haven't tried it with the RPi overclocked, but it's worked without a glitch at the normal RPi clock rate.  I've also used the 32GB version of this in my music player, and it has worked well also.",
3482,,5,"Recently upgraded to Samsung Note II. I've been wanting to carry more of my music. Turns out I only had a total of 12GB of music. But with the new 64GB card, that still gives me another 52GB for my photos, spreadsheets, word docs and PDF docs. I've been listening to my music stored on this card--No delays.",
3483,,5,I bought this for my son's Samsung Galaxy S4.  He had an 8gb card but it was filled.  This has more than enough space and the speed is excellent. He told me it is very fast compared to his last card. I would recommend this for sure.,
3484,,2,"Hard to review this as the card arrived DOA. Couldn't write to it at all, and it wouldn't format. I returned it and Amazon was great about the credit. I've owned several SanDisk memory cards and they have all performed well and I was a little surprised that this one failed out of the box. I'd read a good review of the Samsung 64GB micro card and I bought that instead. Very pleased with it.",
3485,,5,I use these for every project I work on.  It's a brand I trust and excited to continue with.  :),
3486,,2,Stopped working and could not reformat.  Didn't have good luck with this item or the vendor selling this item.  Hopefully just a bad one...sandisk is usually pretty good,
3487,,2,I loaded this memory card into my TF700T and could not get it to install. I found it to be a format issue and could not reformat it to get it to work. I sent it back and got the class 10 sandisc card ( non ultra ) and it loaded perfactly.,
3488,,5,"This is the first class 10 memory card I have had and boy is it fast, I actually bought two, one for my digital camera and one for my Galaxy 2 7.0.  Saves images really fast in my camera and does not slow down my tablet at all, great product at a great price.",
3489,,5,"Perfect card for my Galaxy S3 - lots of capacity at a decent price, and not a no-name brand either.",
3490,,5,"Couldn't wait to test it when I got home. Yes, the capacity is 128GB but shows less due to binary code. I managed to stuff 53 Hi-Def movies on to this. That is just insane. Speed is pretty good too. I managed 17MB/sec write and 45MB/sec read using a USB3.0 reader. This is for files 64KB or bigger. It slows down substantially with smaller files - typical for SD cards and thumb drives.Great warranty and only a small premium over 2 x 64GB cards.No regrets - highly recommended if you can get it at a decent price.",
3491,,5,Fantastic product as it is described. I purchased 2 of them. Delivery was fast. I will definitely buy it again and recommend this product to anyone.,
3492,,5,"Excellent quality memory; good deal for the price! It functioned perfectly, good speed, and meets all my needs. I would definitely recommend for anyone using tablets. I am planning to buy another one shortly.",
3493,,5,"wouldn't trade it for anything. i need the extra space, so it is very helpful. and sandisk always makes good stuff",
3494,,5,I use this in my Canon digital SLR.  Has lots of memory and the quality of images are great.  No disappointments.,
3495,,5,"I bought this about 5 months ago, give or take. I needed if for my Galaxy S3. It works perfect.",
3496,,5,"We have bought two of these.  You get an open slot with your smartphone and you should use it.  Pictures, movies, and music will fill up your primary device storage in a heartbeat.  Further, it is a good practice to have your &#34;personal&#34; stuff, like the things I just mentioned, saved to an external drive so as to not be in the mix should the horrific happen and you have to get your phone wiped.Word to the wise:  ENCRYPT YOUR STORAGE, both Primary Device and External SD.  For the Samsung Galaxy S4 (at least), that, in turn, requires that you use a phone unlock code of at least SIX characters, with at least one of them being non-numeric.  I know this can appear to be a pain in the butt, but the first time your device is ganked and you aren't panicking because your stuff is encrypted, you'll thank me.  Nekkid pictures aren't the only things of concern, mind you.  An unencrypted device, stolen by the wrong hands, isn't just $25 in crack cocaine money...it is much, much more than that in terms of lucrative identity theft opportunities.  Don't be &#34;that guy&#34;.  Encrypt your phone.  There are walk-throughs showing how to do that for whatever device you happen to have on YouTube, I am certain.",
3497,,5,Installed into my galaxy s3 and it reads and writes very fast. Having that much storage is awesome. It had over 59 gb after formating.,
3498,,5,"This Works As Expected And is WAYYYY faster than my 8Gig Class 2 card.my old card would slow down my phone as it was close to being full and would take forever to load up everything Music Files, Pictures Etc. This Card however I've Loaded more than 8GB of stuff on there, Put everything from my old Card and more, It Reads and loads Up Fine, No need to wait. BuY THIS CARD",
3499,,5,Could not ask for anything more. It is exactly as advertised and I have no issues. I have not gotten to try it in a UHS device yet but cannot wait to do so.,
3500,,5,"Bought it for my S4; it Works like a charm.  No setup needed, my S4 reads it automatically.  Great price. :)",
3501,,5,"Bought this for my new Samsung digital camera. No complaints. It does what it's supposed to do, and I haven't noticed any problems with quality.",
3502,,5,"I run this in my Samsung Galaxy II. Works like a champ and it's really fast. Unless your phone supports exFAT this is as big as you can go. It might find it, but you will only be able to use 32GB...that's why the file system is called FAT32.",
3503,,5,The internal memory on my ASUS tablet is kinda slow.  I installed this bad boy into my tablet and install the OS onto it.  Now the tablet runs nice and fast!,
3504,,5,My old microsd causes images taken to get corrupted probably because of the write speed it can't handle. This one works great! It has been a a few months and it still working good. I haven't seen any problem at. It seems pretty fast compare to my old  transcend. I would recommend it as Sandisk is already proven. It might cost a little more but it seems more reliable.,
3505,,5,"Figured there was not going to be any issues with SanDisk; produce arrived in well packaged - removed it, formatted it on computer, and installed. Working fine!",
3506,,5,Worked good in my talbet and gave it more space too do more games and pictures and download too save all your pictures,
3507,,5,"What can I say about a memory card?  I purchased it to increase the memory in my phone, it fits as it should, and works as it should.",
3508,,4,"What can I say SanDisk has the micro SD figured out.  Works with Asus Memo pad hd 7, movies for long trips.",
3509,,5,What can i say my old 8GB died and this is working like a champ trust the brand for a long time and expect nothing but the best,
3510,,5,"My S3 did not recognize card when it was formatted exFAT.  S3 seems to have problem supporting exFAT format in higher capacity like 32gb or 64gb.When I inserted the SD card, it just kept saying that SD card was ""damaged"" and I just got stuck on ""Unmounting SD card"" screen when I tried to format it on my phone.I just manually formatted the SD card to FAT32 in Windows 8 and inserted it into my phone.It runs smooth now.  Seems like a lot of people are having trouble to get the SanDisk 64gb to work in S3.  Hope this helps.",
3511,,5,Look no further. Perfect for my galaxy devices. I purchased a few of these and switch them between devices for quick data transfer. Highly recommended.,
3512,,5,"This is a very good item, fits perfectly in my tablet, its confortable, and protect it. Works very nice, great item...",
3513,,5,I got this to put in the i9 by cect that I got through amazon and it works great. bye,
3514,,5,I almost got myself a 16GB but decided on the 32GB last minute.  I'm so glad I did - I filled up my Hero3 White edition with over 20k time-lapse images and a few hours of HD footage.  These things are solid and reliable.  I filled it up over a 6 day period doing some work in Haiti.,
3515,,5,"Can be used with my phone as well as with my computers, thanks to the included adapter. I use these to back up/store pictures and documents instead of a separate external hard drive... I just put a number on the disk, as well as a numbered label on the plastic storage case it comes with, so I can remember what is on which disk. Easy to use and store!",
3516,,5,Really fast processing speeds and saves crystal clear footage. Haven't had any problems with it and don't expect to have any.,
3517,,5,"I've had other Sandisk memory cards, and they've always proven reliable. As always with memory, get the biggest you can afford, because you'll always need more than you think, and volume gets more economical with greater capacity.",
3518,,1,"Ive had the card for over a month, using it in my Samsung Galaxy Note 10.1.I filled the card with a few TV shows and movies to watch on the go, as well as many PDFs and MS Word Docs.The MS Word and PDF files often get corrupted after use. THe larger files seem to stay intact. I moved the smaller files into the internal storage and havent had problem since.Im hoping Sandisk has a decent return policy.",
3519,,5,"Using this for expanded storage on my Nexus 7 (via Mini SD USB Reader for Android) and it's working great. Instantly adds more storage for music, movies, tv, etc...",
3520,,5,"I bought this to use with my GoPro Hero3 Black, and it works great! No problems at all. For the price, it's hard to beat.",
3521,,5,"I get about 3mb/s, and the formatted capacity is closer to 27 gb. However the extra storage is very useful, it has some quirks. You can't move anything to the recycle bin. It doesn't work. You have to permanently delete it.",
3522,,5,"I didn't see this brand listed on the GoPro website as one of the recommended cards but I've never had an issue with SanDisk before so I gave it a try. It is a UHS1 card so it doesn't ever stop recording due to write errors. For the price, you can't beat the quality that comes with it. It also included a microSD to Standard SD card adapter so that you don't need a different card reader if you have one for your old SD cards.",
3523,,5,I love the additional storage for my pics/videos on my S3.  So far no problems.  Reads/writes with no problems or delays.  I got a great price on this as a gold box deal.  Too bad I could only purchase 1.  I can also use in most of my other devices with an adapter.,
3524,,5,This microsd card has been working fine in my Android phone for several months.  I have had no problem with speed or data corruption thus far.,
3525,,5,"Comes in an open package, no box included except for the instruction manual/warranty. Using this on my cell phone and works great. Read/Write speeds are noticeably faster than my old Sandisk 32gb MicroSD.",
3526,,5,"Got this MicroSDXC for my GoPro. I've got more than enough space not to worry about changing my simcard, but more about changing my battery.",
3527,,5,See above.  Nice to have the extra room in my Blackberry Z30.  LOTS of content goes with me.  Packaging was adequate but not over-the-top.,
3528,,5,Fast and reliable. So far no problems in my Samsung Galaxy S4 phone. Plus I got it on sale and well worth price.,
3529,,5,I upgraded from my 8 GB SD to this one and it was great to have the extra space.No problems with it.I removed the SD card from my phone and copied the files up to my computer using the adapter that came with the new card.  I copied the files to my new 32 GB MicroSDHC and installed it in my Galaxy S4 and it worked great.I liked the color. Makes it easier to see on my black desk.,
3530,,3,"I bought this for my new samsung galaxy s 4, and the first one I ordered produced formatting issues on my phone every time I rebooted. I looked online and found a number of these got recalled (or something) at one point, and some didn't but just don't work.I returned it for a replacement and the replacement has worked fine in my phone with constant use. I'm on month 4 with no issues.",
3531,,5,"fast and giv, works great",
3532,,1,"No way to format it. I even downloaded 2 programs that claimed were able to format it, After wasting about 6 hours, I decided to give up and send it back, The seller should format them before sending them, even if they would charge $5. extra, it would be well worth it instead of the hassle of downloading programs and wasting time trying and sending it back after hours of frustration.",
3533,,5,Needed to update the card in my Galaxy S4. Bought this one on sale. Installed it and it works fine. Loaded it up with music and have also used it for storing photos and videos from the phone. Big fan of SanDisk products.,
3534,,5,"I bought 2 of this, one for a Hero3 camera and one for a Galaxy S3 mini, They both work excelent, recommended for video shooting. Very good price!With the adapter you can use it on a SD card reader (SDHC compatible)",
3535,,5,I needed some new micro SD cards for my Flash Boot Project and required stable speeds. Sandisk provided the product I required with optimal speeds and stability along with quality and warranty.,
3536,,5,Bought to increase memory in my Samsung Galaxy III.  Use my phone for business and pleasure and needed the memory upgrade. Works great.,
3537,,4,"I purchased this to use in a Samsung Galaxy S3 phone. It worked fine for about a month, then the phone stopped recognizing it. I was able to copy my photos before the computer stopped recognizing it as well. SanDisk replaced it under warranty and so far the new one has been fine.",
3538,,5,I prefer the San Disk brand over other types.  This is a great size for phones & camera's.  I would buy again.,
3539,,5,I bought this for my husband and then the 32 GB one went on sale so I bought that one for him. I use this one in my Tablet and I love it! No issues!!,
3540,,5,I've used a number of these.  Just bought some more.  They're well rated.  they've always worked well for me.  Good price.,
3541,,5,Worked well after reformatting. Good thing I was able to download the free app on line after reformatting. Memory to spare. I like being able to download and snap photos without thinking how much space left in the phone.,
3542,,1,I was better off with my 32gig card.  This thing was nothing but problems.  The phone does not see it half the time and it is SLOW.  The phone keeps asking to Re- format it.  I got it to see the card after a reboot.  It is still SLOW.I will be buying the Samsung 64gig card for my Samsung Galaxy Note 1.  I have seen good things from Samsung.,
3543,,5,"I bought this for my GoPro and it does great. The only problem I experience with it is, if you download your pictures and videos from the day, you should re-format the card before trying to use it again. It seems to get confused where you left off when you re-install it. I lost out on getting some pictures and video because of not doing this on the second day of my SCUBA vacation. When I would start the GoPro in video mode, it would record about 6-15 seconds then stop automatically. Haven't have anymore problems since re-formatting after each night's downloading. The videos, set on 1080 looks great.",
3544,,3,Worked for awhile and then android would blow chunks (unexpectedly removed).  Windows sometimes could not read them and just blew up explorer.  Formated FAT32 .... ect ect ect over and over.  I'm done with SanDisk.  I think the problem is the CLASS 10 part of these cards.  All other cards I have work fine and they are less than class 10.  Maybe this was a bad batch because my replacement card a few days later (from Amazon) did the same thing again.EDIT: Decided to pick up the card that was laying on my counter for the last 3 months and give things another try.  Still does not work in HTC Evo LTE or EVO 3D.  Finally got it working in Galaxy S3.  Still very frustrating.,
3545,,5,"Super fast reading and writing. This thing performs under extreme condition; writing multiple large files, videos and photos, all at the same time. Have owned it for about 2 weeks now, and extremely happy with it.Formatting is super easy and fast",
3546,,5,"Insert it and use it, it is exactly that easy to use. And did I mention it is also very fast? I purchased this for my new Nook HD+ tablet and it gives me a lot of storage space for anything I wish to keep on the tablet, pictures, music, documents, eBooks, anything else I wish to create or copy to the tablet. I am very pleased with the performance and price of this purchase.",
3547,,5,"Very fast! Decent price.I use this for my phone, and it does the job. Never had any problems, it's a class 10 card so it has plenty of speed for reading and writing. Will buy again =)",
3548,,5,Bought for my wifes Samsung Galaxy 3 Tab. Lots of storage for pictures and music. Good product at reasonable price.,
3549,,4,seems to be working just fine...bought as a gift for a family member and they're using it for video recording.,
3550,,5,What can I say? It works and was formatted for an android already. Tho' I'm sure it will work w/ anything!,
3551,,5,"I have owned many an SD card in the past, and this is probably the best bang for the buck I've ever received in a card.  I'm not super nitpicky about data read/write speeds necessarily, but this card is plenty fast for me in my Samsung Galaxy Note II.  Pick one up while they are on sale!",
3552,,5,does very good..... holds a lot of songs......,
3553,,5,"Plugged in and worked out of the box in my Samsung Note 2 (Verizon).  Using an app to test the speed while it's in my Note, was hitting 8 - 15 mb/s for writing (avg high 8s), consistently in the 10mb/s for reading, so this seems like a legit class 10, and I don't think the write test really worked the greatest for whatever reason.  I'm with WinXP still, but to anyone else wondering, the exfat format the card comes in is what you want, don't format to fat32 if you computer can't read it, your phone/tablet/etc. most likely will read it fine.",
3554,,5,able to capture 1080p full Hd on my blackberry z10 now.  with my other card i was only able to do 720,
3555,,5,"A micro card that has 64G still just blows my mind. I put this card in my Galaxy Tab and I love it. It gives me plenty of storage for my music, videos, movies, photos, etc. The speed is awesome too. That makes uploading to it that much more enjoyable. I recommend it.",
3556,,5,I use mine inside a dash camera which records continuously while the car is being driven. No problems so far. Having the SD adapter included is nice.,
3557,,5,Its in my GoPro and the memory card easily captures 2 hrs of video.It can get more the battery only lasts 2 hrs.,
3558,,5,"Got it for my cell phone, Samsung Galaxy S4.  Works just like one would expect and appears to be quite fast.",
3559,,5,"I like to keep track of the &#34;Daily Deals&#34; and check them almost daily (resulting in me spending more than I should), but this was too good of a deal to pass up.  I will be upgrading my cell phone soon, so I knew I would be needing it soon.  So, at $30 (with an adaptor and in retail packaging) I jumped at it and am glad I did!",
3560,,5,Fast and reliable.  Well worth the price.  Works in my android tablet 7.0 with no problems.  Setup was no problem.,
3561,,5,"Slides right into devices with ZERO instructions needed, comes with ""Reader."" Adds lots of Storage space to your Reader or other device. Firmly snaps into place. Easy to read on screen instructions for what to store on device and what to store on SD Card.",
3562,,4,Probably enough storage space to handle most people's personnel information needs.  Just don't forget where you hide it.,
3563,,5,"Shop around, and you will be surprised how good of a deal this is.Combine it with something else to get free shipping, and it's a low cost winner.Technically speaking it works great, especially for a Go Pro Camera which will benefit greatly from the enhanced storagecapacity.Put it in a digital camera, and you won't need to worry about running out of space.Just bought my second one, that's how much I like/recommend it",
3564,,1,"Bought 2 of these for the wife's & my Android phone. When her's failed after 2 months, we figured it was just luck of the draw. Now mine failed after just over 4 months, losing a bunch of photos & videos (I made sure to back up every few weeks but even so, we just lost a bunch of photos of our 2 month newborn).Clearly SanDisk had a bad batch with this lot and as the return policy is horrible, I won't be buying any more SanDisk, no matter how cheap (when we bought them on sale around January 2013 they were over half the price of similar SD cards; again, SanDisk clearly knew they had a bad batch, shame on them for dumping them on the customer, no matter how cheap).While I would presumed they would have solved the problem in production, buy at your own risk, SanDisk will sell product with ridiculous failure rate.EDIT: After submitting my review I did some more research on other sites and the low star reviews here. SanDisk is so clearly guilty of selling a defective product from the batch about 6 months ago. Which as I said before, is when they put them on a super discount sale. They knew what they were doing and they are thumbing their nose at customers who just fell outside warrantee (like myself).To knowingly sell your customer something that is going to fail at an unacceptable rate and then ignore them because it failed a little bit outside warrantee is just bad faith. I beg people considering buying this product to not do so, and thumb up the reviews warning of failures. It is only when companies lose sales do they reconsider not screwing their customers like this.Personally I have bought several SanDisk thumb drives, CompactFlash cards, and a Sandisk MP3 player. The thumb drives were ok but I wouldn't buy another mp3 player from them (it was buggy as hell). Up until now I had an overall neutral to favorable opinion of them, not anymore.If you think I am overreacting, please just skim through a few pages submitted in springtime of 2013. There is at least one or more ""6 months and it failed"" reviews per page.",
3565,,5,"What is this thing? Oh, yeah. A memory card!It does what it says and nothing else.Keep remembering things even when you forget. Like my last girlfriend!",
3566,,5,"I'm using this in a NOOK HD+ (Customized Android OS). I use it mostly for music, a few docs. It works as expected with no problems. I have several SanDisk MicroSD cards, but this is the only XC card. They have all performed as expected. I have been pleased with both his memory card, as well as the other SanDisk cards.",
3567,,5,"All I can say is, these are probably the best I could find, fast and furious!If you dont get class 10, you are taking the risk of dropped frames on your HD videos.besides they are pretty too!",
3568,,5,"To begin, I am not that knowledgeable in tech matters so when I received a new Galaxy Note 2 as a gift and decided to add storage I read some reviews on the SD cards and was reading about the compatibility of the 64 GB cards (exFAT or Fat? I guess the exFAT was a successful diet), I was concerned somewhat but I ordered this one anyway and this is what my experience was. I added some music and videos onto the card using my Apple Macbook Air with no problems and then inserted it into the Note 2 with no problems and it immediately loaded everything with no problems. I have since taken it out and added some more music to it and it is working perfectly. I did not reformat or anything like that which was a great relief. Although I have only used this item for a week now with issue which means something could go wrong in the future, I would give it more than 5 stars if possible because it was easy for someone like me. I know I used the phrase no problems multiple times but when you are my age and things go smoothly with no problems it is very good.",
3569,,5,I bought this for my Lenovo A2109 tablet which alot of sites say wont work.  Once I formatted it to FAT32 it worked flawlessly.  Its fast and provides tons of storage to my 16gb tablet.,
3570,,4,"works as expected and was nice that it came with a holder. Not sure what else you can say about a chip, either it works or it don't? One never knows until they use it for a while how it is working...",
3571,,5,"It's a micro sd hc, stores files, and is great at it.I don't really know enough about these kinda things to go into details of how fast it is at transfering files.But it worked great for copying video files from my computer, placing the same thing into my LED tv (has a USB port) and watching the files from there. 8gb video files would play perfectly fine. Perhaps that's saying enough about it? Worth the money!",
